behind it a bar with chairs and two people , and a bench with one person lying on it . 	 two people 	32	42	1	0
there are cars at the roofed entrance of a grey hotel with the writing Hilton Colon Quito 	 the writing 	59	70	0	0
there are also two windows in the background , and two arm chairs , a coffee table and a mirrow in the foreground . 	 chairs 	59	65	1	0
a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . 	 a night table 	83	96	0	0
there are also two windows in the background , and two arm chairs , a coffee table and a mirrow in the foreground . 	 chairs 	59	65	1	0
a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . 	 a ventilator 	101	113	0	0
a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . 	 a double bed 	50	62	0	0
a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . 	 a ventilator 	101	113	0	0
a very big , longish room with light blue walls , a double bed made of wood , with a night table and a ventilator in the background . 	 walls 	42	47	0	0
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 a double bed 	26	38	1	1
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 a lamp 	128	134	1	0
a parquet made of wood . 	 wood 	18	22	0	1
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 a lamp 	128	134	0	0
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 a lamp 	128	134	0	0
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 a lamp 	128	134	0	0
a room with white walls , a double bed made of wood with a multicoloured bedcover and a night table on both sides , each having a lamp above them . 	 walls 	18	23	0	1
a dark red house with lots of arches and columns , and red rails and a few potted plants in front of it . 	 plants 	82	88	0	0
a dark red house with lots of arches and columns , and red rails and a few potted plants in front of it . 	 plants 	82	88	1	0
a dark red house with lots of arches and columns , and red rails and a few potted plants in front of it . 	 plants 	82	88	0	0
a dark red house with lots of arches and columns , and red rails and a few potted plants in front of it . 	 plants 	82	88	0	0
a dark red house with lots of arches and columns , and red rails and a few potted plants in front of it . 	 plants 	82	88	0	1
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 pool 	11	15	0	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 pool 	11	15	0	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 palm 	45	49	0	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 the left 	77	85	0	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 trees 	50	55	1	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 trees 	50	55	1	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 trees 	50	55	1	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 the left 	77	85	0	0
a swimming pool with white canvas chairs and palm trees in the background on the left . 	 the left 	77	85	0	0
a room with white walls , a double bed with a yellow and red chequered bedcover , a night table of both sides and a burning lamp on the left . 	 a double bed 	26	38	1	0
a room with white walls , a double bed with a yellow and red chequered bedcover , a night table of both sides and a burning lamp on the left . 	 walls 	18	23	0	0
a room with white walls , a double bed with a yellow and red chequered bedcover , a night table of both sides and a burning lamp on the left . 	 a night table 	82	95	0	0
a room with white walls , a double bed with a yellow and red chequered bedcover , a night table of both sides and a burning lamp on the left . 	 walls 	18	23	0	0
there is a garden on the left with a lawn , flowers and little palm trees . 	 trees 	68	73	1	0
a white house with stairs , arches and columns in front of the entrance . 	 the entrance 	59	71	1	0
a white house with stairs , arches and columns in front of the entrance . 	 columns 	39	46	1	0
a white house with stairs , arches and columns in front of the entrance . 	 the entrance 	59	71	0	1
a white house with stairs , arches and columns in front of the entrance . 	 stairs 	19	25	0	0
a white house with stairs , arches and columns in front of the entrance . 	 columns 	39	46	1	0
a white house with stairs , arches and columns in front of the entrance . 	 columns 	39	46	0	0
a white house with stairs , arches and columns in front of the entrance . 	 columns 	39	46	0	0
a white house with stairs , arches and columns in front of the entrance . 	 a white house 	0	13	1	0
a white house with stairs , arches and columns in front of the entrance . 	 arches 	28	34	1	1
a room with a single bed , a white bedcover and multicoloured blankets . 	 a single bed 	12	24	1	1
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a green bench 	9	22	1	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a wooden door 	128	141	0	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a wooden door 	128	141	0	1
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 curtains 	100	108	1	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a wooden door 	128	141	1	1
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 curtains 	100	108	0	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a wooden door 	128	141	0	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 curtains 	100	108	0	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 a window 	74	82	0	0
there is a green bench on the left , a wooden table with a TV in front of a window with light brown curtains on the right , and a wooden door with glass and blinds in the background . 	 curtains 	100	108	1	0
a room with a single bed , a white bedcover and multicoloured blankets . 	 a room 	0	6	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 a pavement 	144	154	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 people 	126	132	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 people 	126	132	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 people 	126	132	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 a pavement 	144	154	0	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 people 	126	132	1	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 an iron fence 	88	101	1	1
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 an iron fence 	88	101	1	0
a light orange three-storey building with blue windows , a garden that is surrounded by an iron fence and white columns , and people walking on a pavement before it . 	 a pavement 	144	154	0	0
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a single bed 	29	41	0	1
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a single bed 	29	41	0	1
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a single bed 	29	41	0	0
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a lamp 	119	125	0	0
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a lamp 	119	125	0	0
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 wood 	50	54	0	0
a room with a double bed and a single bed made of wood , with green , yellow and blue bedcovers and a night table with a lamp and an alarm clock in between . 	 a room 	0	6	0	1
there is a wooden door that has been painted white on the left , and a big window with open , orange curtains on the right . 	 a wooden door 	9	22	0	0
a room with green and yellow walls , two single beds with multicoloured bedcovers and a night table with a lamp in between . 	 beds 	48	52	1	0
a room with green and yellow walls , two single beds with multicoloured bedcovers and a night table with a lamp in between . 	 beds 	48	52	1	0
a room with green and yellow walls , two single beds with multicoloured bedcovers and a night table with a lamp in between . 	 walls 	29	34	0	1
there is a wooden door that has been painted white on the left , and a big window with open , orange curtains on the right . 	 curtains 	101	109	1	0
there is a wooden door that has been painted white on the left , and a big window with open , orange curtains on the right . 	 a big window 	69	81	0	0
a room with green and yellow walls , two single beds with multicoloured bedcovers and a night table with a lamp in between . 	 a lamp 	105	111	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 a car 	0	5	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	0
there is also a power line in front of the house . 	 the house 	39	48	0	0
there is also a power line in front of the house . 	 the house 	39	48	0	1
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	0	1
a car is parking in front of a white , three-storey building with big windows and brown curtains . 	 three-storey building 	39	60	1	0
a room with light orange walls , a single bed with a violet bedcover and white towels . 	 a single bed 	33	45	1	1
there is a night table with a lamp on the right and a white and yellow curtain on the left . 	 a lamp 	28	34	1	1
there is a night table with a lamp on the right and a white and yellow curtain on the left . 	 a lamp 	28	34	0	0
there is a night table with a lamp on the right and a white and yellow curtain on the left . 	 a lamp 	28	34	0	0
there is a night table with a lamp on the right and a white and yellow curtain on the left . 	 a lamp 	28	34	0	0
a room with light orange walls , a single bed with a violet bedcover and white towels . 	 walls 	25	30	0	0
a room with light orange walls , a single bed with a violet bedcover and white towels . 	 walls 	25	30	0	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 pool 	11	15	0	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 trees 	128	133	1	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 trees 	128	133	1	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 trees 	128	133	1	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 the background 	159	173	0	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 pool 	11	15	0	0
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 a pink house 	98	110	1	1
a swimming pool with a blue edge , blue canvas chairs and a blue sunshade on the left , behind it a pink house surround by palm trees , and a big sand dune in the background . 	 the left 	77	85	0	0
there are two single beds with brown blankets and a night table and a lamp in between . 	 beds 	21	25	0	0
a room with a wall made of red bricks ( on the left ) and a white wall with two pictures ( on the right ) . 	 bricks 	31	37	1	0
a room with a wall made of red bricks ( on the left ) and a white wall with two pictures ( on the right ) . 	 bricks 	31	37	0	0
there is also a window with purple curtains on the left . 	 curtains 	35	43	0	0
there is also a window with purple curtains on the left . 	 curtains 	35	43	0	0
a room with a wall made of red bricks ( on the left ) and a white wall with two pictures ( on the right ) . 	 a wall 	12	18	0	1
there is also a window with purple curtains on the left . 	 curtains 	35	43	0	0
a room with a wall made of red bricks ( on the left ) and a white wall with two pictures ( on the right ) . 	 a wall 	12	18	0	0
there are two single beds with brown blankets and a night table and a lamp in between . 	 a lamp 	68	74	0	0
there is a jeep in front of the house on the left . 	 a jeep 	9	15	0	0
there is a jeep in front of the house on the left . 	 the house 	28	37	1	1
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 ornaments 	51	60	0	0
all levels have arched windows . 	 levels 	4	10	0	0
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 a sign 	86	92	0	0
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 a three-storey house 	0	20	0	0
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 a three-storey house 	0	20	0	0
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 a three-storey house 	0	20	0	0
a three-storey house made of red bricks with green ornaments and a yellow corner with a sign saying La Posada del Conde . 	 a three-storey house 	0	20	0	0
a white ship in full speed on the sea . 	 the sea 	30	37	0	0
a blue sky in the background . 	 the background 	14	28	0	0
a blue sky in the background . 	 a blue sky 	0	10	0	1
a white ship in full speed on the sea . 	 a white ship 	0	12	1	1
the bedcover of the bed in the front is purple and green , the other one is multicoloured . 	 the bed 	0	7	0	1
the bedcover of the bed in the front is purple and green , the other one is multicoloured . 	 the bed 	0	7	0	1
the bedcover of the bed in the front is purple and green , the other one is multicoloured . 	 the bed 	0	7	0	1
a room with blue walls , two single beds made of wood with a phone in between and a painting above it . 	 a phone 	59	66	0	0
a room with blue walls , two single beds made of wood with a phone in between and a painting above it . 	 a painting 	82	92	0	0
a room with blue walls , two single beds made of wood with a phone in between and a painting above it . 	 walls 	17	22	0	1
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 building 	17	25	0	0
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 building 	17	25	0	0
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 building 	17	25	0	0
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 a blue 	58	64	0	0
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 building 	17	25	1	1
a grey and brown building with a bright blue entrance and a blue writing Alameda del Peregrino on a bright blue background . 	 building 	17	25	0	1
there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed . 	 the bed 	126	133	1	1
there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed . 	 a painting 	87	97	1	0
there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed . 	 a chair 	39	46	0	0
there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed . 	 a painting 	87	97	1	0
there is a night table to the left and a chair in front of a mirror on the right , and a painting of a half-naked woman above the bed . 	 a painting 	87	97	0	0
there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance , 	 a man 	80	85	0	0
there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance , 	 a lamp 	9	15	0	0
there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance , 	 a lamp 	9	15	0	0
there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance , 	 the way 	89	96	1	1
there is a lamp on the left and on the right , an ornament above the entrance , a man on the way to the stairs next to a flower pot behind the entrance , 	 a flower pot 	119	131	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a double bed 	31	43	1	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a lamp 	131	137	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 walls 	23	28	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a lamp 	131	137	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a lamp 	131	137	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a phone 	101	108	0	0
a room with light blue walls , a double bed made of wood with a purple bedcover , a night table with a phone , remote controls and a lamp on the right , and a fridge on the left . 	 a lamp 	131	137	0	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 the entrance 	49	61	0	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 the entrance 	49	61	1	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 a brown house 	0	13	0	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 a brown house 	0	13	0	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 flags 	37	42	1	1
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 flags 	37	42	1	1
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 flags 	37	42	1	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 flags 	37	42	1	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 flags 	37	42	1	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 the entrance 	49	61	0	0
a brown house with large windows and flags above the entrance , and the white writing Hotel Peregrino . 	 windows 	25	32	1	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 a double bed 	41	53	1	1
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 curtains 	154	162	0	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 walls 	33	38	0	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 curtains 	154	162	0	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 curtains 	154	162	0	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 walls 	33	38	0	0
a room with light and dark brown walls , a double bed made of wood with a multicolour-striped bedcover , an arm chair and a plant at a window with orange curtains in the background on the left . 	 curtains 	154	162	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 the background 	103	117	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 trees 	69	74	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 the background 	103	117	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 the house 	43	52	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 the house 	43	52	0	0
there is a meadow with flowers in front of the house and a couple of trees behind it , and a canyon in the background . 	 the house 	43	52	0	1
a room with white walls , a double bed made of wood , a light blue and white chequered bedcover and white towels and a black chimney in the back corner . 	 a double bed 	26	38	0	1
a room with white walls , a double bed made of wood , a light blue and white chequered bedcover and white towels and a black chimney in the back corner . 	 towels 	106	112	1	0
a room with white walls , a double bed made of wood , a light blue and white chequered bedcover and white towels and a black chimney in the back corner . 	 a black chimney 	117	132	1	0
a room with white walls , a double bed made of wood , a light blue and white chequered bedcover and white towels and a black chimney in the back corner . 	 walls 	18	23	0	0
an orange house with three small windows and stones set in concrete . 	 stones 	45	51	1	0
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 the house 	78	87	1	1
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 the house 	78	87	0	0
an orange house with three small windows and stones set in concrete . 	 concrete 	59	67	0	0
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 a dense vegetation 	9	27	1	1
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 trees 	42	47	1	0
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 the neighbour 	91	104	0	0
there is a dense vegetation with bushes , trees and potted plants in front of the house of the neighbour . 	 the neighbour 	91	104	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 beds 	58	62	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 beds 	58	62	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 a painting 	183	193	0	1
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 walls 	18	23	0	1
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 a lamp 	144	150	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 a phone 	155	162	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 beds 	58	62	0	0
a room with white walls and a crate behind the two single beds made of wood with a multicoloured bedcover , white towels and a night table with a lamp and a phone in between them and a painting above it . 	 wood 	71	75	0	1
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 a fountain 	81	91	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 a fountain 	81	91	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 a fountain 	81	91	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 columns 	50	57	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 columns 	50	57	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 a hedge 	94	101	1	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 trees 	73	78	1	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 trees 	73	78	0	0
there is a forest in the background . 	 the background 	21	35	0	0
there is a forest in the background . 	 the background 	21	35	0	0
a ranch with yellow sunshades , red walls , white columns , flags , palm trees , a fountain , a hedge . 	 a fountain 	81	91	0	0
a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray . 	 a double bed 	64	76	0	0
a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray . 	 an ashtray 	152	162	0	0
a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray . 	 an ashtray 	152	162	0	0
a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray . 	 a red lamp 	137	147	0	0
a room with light yellow walls , two wooden ornamental strips , a double bed with a blue and brown striped bedcover , a night table with a red lamp and an ashtray . 	 walls 	25	30	0	0
a swimming pool with a blue and white sunshade next to it . 	 white sunshade 	32	46	0	0
a swimming pool with a blue and white sunshade next to it . 	 pool 	11	15	0	0
a swimming pool with a blue and white sunshade next to it . 	 pool 	11	15	0	0
a swimming pool with a blue and white sunshade next to it . 	 pool 	11	15	0	0
a courtyard of a white , two-storey building with a lot of brownish red wood ( doors , timber and balcony ) and red rooftiles . 	 two-storey building 	25	44	1	1
a swimming pool with a blue and white sunshade next to it . 	 pool 	11	15	0	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 a wooded slope 	84	98	0	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 a wooded slope 	84	98	0	1
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 a wooded slope 	84	98	0	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 a wooded slope 	84	98	0	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 an reddish-brown house 	19	41	0	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 a pavilion 	56	66	1	0
a gravel road with an reddish-brown house on the left , a pavilion on the right and a wooded slope in the background . 	 the background 	102	116	0	0
a room with white walls , ( red with blue squares behind the ) two single beds with white and blue striped bedcover . 	 beds 	74	78	0	0
a room with white walls , ( red with blue squares behind the ) two single beds with white and blue striped bedcover . 	 beds 	74	78	0	0
a room with white walls , ( red with blue squares behind the ) two single beds with white and blue striped bedcover . 	 walls 	18	23	0	0
a room with white walls , ( red with blue squares behind the ) two single beds with white and blue striped bedcover . 	 walls 	18	23	0	1
a bungalow with two hammocks in front of the entrance and two trees next to it . 	 two trees 	58	67	1	0
a bungalow with two hammocks in front of the entrance and two trees next to it . 	 two hammocks 	16	28	0	0
a bungalow with two hammocks in front of the entrance and two trees next to it . 	 two hammocks 	16	28	0	0
there are people at the entrance , and a meadow and a forest in the background . 	 people 	10	16	0	0
there are people at the entrance , and a meadow and a forest in the background . 	 a forest 	52	60	0	0
a bungalow with two hammocks in front of the entrance and two trees next to it . 	 a bungalow 	0	10	0	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 beds 	42	46	1	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 beds 	42	46	0	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 walls 	23	28	0	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 a painting 	170	180	0	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 a lamp 	114	120	0	0
a room with light blue walls , two single beds ( one of it is fully visible ) made of wood and a night table with a lamp , a phone and a phone book in between , above it a painting , and a curtain in front of a window on the right . 	 beds 	42	46	1	0
there are two street lamps and three small palm trees in the foreground . 	 trees 	48	53	1	0
there are two street lamps and three small palm trees in the foreground . 	 trees 	48	53	1	0
there are two street lamps and three small palm trees in the foreground . 	 lamps 	21	26	0	0
there are two street lamps and three small palm trees in the foreground . 	 trees 	48	53	0	0
a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof . 	 the roof 	104	112	0	0
a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof . 	 the roof 	104	112	0	0
a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof . 	 green four-storey building 	20	46	1	0
a white , brown and green four-storey building with a Peruvian flag and the writing Hotel San Miguel on the roof . 	 green four-storey building 	20	46	0	0
a room with walls that are wallpapered in grey and brown and a double bed with a multicoloured bedcover , night tables on both sides , an iron ornament behind it and two lamps above it . 	 a double bed 	61	73	1	1
there is also a window with curtains on the very left . 	 curtains 	28	36	0	0
there is also a window with curtains on the very left . 	 curtains 	28	36	0	0
a room with walls that are wallpapered in grey and brown and a double bed with a multicoloured bedcover , night tables on both sides , an iron ornament behind it and two lamps above it . 	 two lamps 	166	175	0	0
a room with walls that are wallpapered in grey and brown and a double bed with a multicoloured bedcover , night tables on both sides , an iron ornament behind it and two lamps above it . 	 two lamps 	166	175	0	0
a room with walls that are wallpapered in grey and brown and a double bed with a multicoloured bedcover , night tables on both sides , an iron ornament behind it and two lamps above it . 	 walls 	12	17	0	0
